"plotcode","country","surveydate1","surveydate2","longitude_generalised","latitude_generalised","management2"
"834564104831","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.7389998804945,57.2836789928418,1
"834564104832","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.7395207831641,57.3013486035422,0
"834564108830","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.7638344159822,57.279096276673,1
"834564204830","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.767837201981,57.293402116857,1
"834564304830","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.728313981665,57.2564304493228,1
"834564308830","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.719849138333,57.2729512507606,0
"834564408830","Sweden","2003-10-08 00:00:00","2008-09-10 00:00:00",14.7278772371295,57.2774704583087,0
"834565104830","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5925180983492,57.3118333484575,1
"834565108830","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5844284116876,57.327992495967,1
"834565204830","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5669927329771,57.3033810893234,1
"834565304830","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5515759925663,57.3379275464536,0
"834565308830","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5857232959051,57.3089570891073,0
"834565404831","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5496660690888,57.3457120608328,0
"834565404832","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5512109730578,57.3265681920249,0
"834565408830","Sweden","2003-07-09 00:00:00","2008-07-05 00:00:00",14.5699607073471,57.3344695329121,0
"834566104830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.4162721924277,57.3592734850453,1
"834566108830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.4028944857355,57.3901310314462,0
"834566204830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.3992769990951,57.3712575818945,1
"834566208832","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.434322994948,57.381605378015,0
"834566304830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.3976281380873,57.3532224352336,1
"834566308830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.4104251442154,57.3705705726214,0
"834566404830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.4082574904998,57.3669693910633,0
"834566408830","Sweden","2003-09-16 00:00:00","2008-09-02 00:00:00",14.4077794275402,57.386686282909,0
"834567104830","Sweden","2003-07-07 00:00:00","2008-10-01 00:00:00",14.2427238267905,57.3979266738086,1
"834567208830","Sweden","2003-07-07 00:00:00","2008-10-01 00:00:00",14.2439703249287,57.3953698926173,0
"834567304831","Sweden","2003-07-07 00:00:00","2008-10-01 00:00:00",14.2443482466995,57.4153931576116,0
"834567304832","Sweden","2003-07-07 00:00:00","2008-10-01 00:00:00",14.2327136179154,57.4029902629591,0
"834567308830","Sweden","2003-07-07 00:00:00","2008-10-01 00:00:00",14.2484810642128,57.4182172352476,0
"834567408881","Sweden","2003-07-07 00:00:00","2008-10-01 00:00:00",14.2169476488174,57.3890759586964,1
"834568104830","Sweden","2003-05-13 00:00:00","2008-07-10 00:00:00",14.8144184906631,57.6242654358405,0
